Dist Code,Year,State Code,State Name,Dist Name,RICE HARVEST PRICE (Rs per Quintal),PADDY HARVEST PRICE (Rs per Quintal),WHEAT HARVEST PRICE (Rs per Quintal),SORGHUM HARVEST PRICE (Rs per Quintal),PEARL MILLET HARVEST PRICE (Rs per Quintal),MAIZE HARVEST PRICE (Rs per Quintal),FINGER MILLET HARVEST PRICE (Rs per Quintal),BARLEY HARVEST PRICE (Rs per Quintal),CHICKPEA HARVEST PRICE (Rs per Quintal),PIGEONPEA HARVEST PRICE (Rs per Quintal),GROUNDNUT HARVEST PRICE (Rs per Quintal),SEASMUM HARVEST PRICE (Rs per Quintal),RAPE AND MUSTARD HARVEST PRICE (Rs per Quintal),CASTOR HARVEST PRICE (Rs per Quintal),LINSEED HARVEST PRICE (Rs per Quintal),SUGARCANE GUR HARVEST PRICE (Rs per Quintal),COTTON KAPAS HARVEST PRICE (Rs per Quintal)
702,2009,8,Orissa,Bolangir,1671.0,850.0,1190.0,1016.0,905.0,783.0,1000.0,932.0,3000.0,3728.0,1995.0,2983.0,2910.0,2371.0,2800.0,2977.5,2965.0
702,2010,8,Orissa,Bolangir,1774.0,966.0,1350.0,1150.0,938.0,896.0,1160.0,1041.5,2315.0,3508.0,1736.0,2912.0,3285.0,2700.0,2549.5,2889.0,4018.0
702,2011,8,Orissa,Bolangir,1750.0,1019.0,1375.0,1180.0,1032.0,921.0,1150.0,1145.0,3313.0,3260.0,2153.0,2989.0,3300.0,3320.5,3212.5,3031.0,3810.0
702,2012,8,Orissa,Bolangir,2006.5,1045.0,1450.0,1498.5,1249.5,947.0,1175.0,1221.0,3453.0,3550.0,2110.0,3033.0,3617.0,2375.0,3371.0,3340.5,3996.0
702,2014,8,Orissa,Bolangir,2760.0,1242.0,1559.0,1599.0,1288.0,1125.0,1465.0,1238.0,3586.0,4705.0,2826.0,4350.0,3700.0,3267.0,3775.0,3436.0,4200.0
702,2015,8,Orissa,Bolangir,2833.33,1289.0,1600.0,1675.5,1351.0,1265.0,1600.0,1428.0,4481.0,7318.5,3200.0,4950.0,4333.0,3279.0,4368.5,3325.0,4272.5
702,2016,8,Orissa,Bolangir,2564.33,1319.0,1650.0,1743.665,1400.0,1400.0,1750.0,1505.0,5232.5,4555.0,3245.0,5400.0,4350.0,3478.5,4100.0,3890.0,4837.0
703,2009,8,Orissa,Cuttack,1671.0,954.0,1200.0,1016.0,905.0,869.0,1050.0,932.0,3000.0,3728.0,2217.0,3075.0,2908.0,2371.0,2800.0,2977.5,2965.0
703,2010,8,Orissa,Cuttack,1774.0,933.0,1200.0,1150.0,938.0,943.0,1100.0,1041.5,2315.0,3508.0,2469.0,4550.0,3425.0,2700.0,2549.5,2889.0,4018.0
703,2011,8,Orissa,Cuttack,1750.0,954.0,1450.0,1180.0,1032.0,1150.0,1150.0,1145.0,3313.0,3260.0,2100.0,3000.0,3500.0,3320.5,3212.5,3031.0,3810.0
703,2012,8,Orissa,Cuttack,2006.5,1045.0,1466.0,1498.5,1249.5,1226.0,1250.0,1221.0,3564.0,3811.0,2300.0,3511.0,3820.0,3070.0,3371.0,3340.5,3996.0
703,2014,8,Orissa,Cuttack,2760.0,1215.0,1560.0,1599.0,1288.0,1300.0,1450.0,1238.0,3586.0,4705.0,3427.0,4700.0,3950.0,3267.0,3775.0,3436.0,4200.0
703,2015,8,Orissa,Cuttack,2833.33,1310.0,1600.0,1675.5,1351.0,1400.0,1585.0,1428.0,4481.0,7318.5,3900.0,5000.0,4375.0,3279.0,4368.5,3325.0,4272.5
703,2016,8,Orissa,Cuttack,2564.33,1315.0,1650.0,1743.665,1400.0,1420.5,2050.0,1505.0,5232.5,4555.0,4150.0,5350.0,4400.0,3478.5,4100.0,3890.0,4837.0
704,2009,8,Orissa,Dhenkanal,1671.0,855.0,1240.0,1016.0,905.0,813.0,900.0,932.0,2500.0,3200.0,2217.0,3075.0,3250.0,2371.0,2800.0,2977.5,2965.0
704,2010,8,Orissa,Dhenkanal,1774.0,852.0,1200.0,1150.0,938.0,875.0,1100.0,1041.5,2315.0,3508.0,2406.0,4550.0,2400.0,2700.0,2549.5,2889.0,4018.0
704,2011,8,Orissa,Dhenkanal,1750.0,930.0,1400.0,1180.0,1032.0,807.0,1150.0,1145.0,3313.0,3260.0,2708.0,4600.0,3092.5,3320.5,3212.5,3031.0,3810.0
704,2012,8,Orissa,Dhenkanal,2006.5,1048.0,1428.0,1498.5,1249.5,850.0,1564.0,1221.0,3453.0,4044.0,3000.0,3000.0,3500.0,3070.0,3371.0,3340.5,3996.0
704,2014,8,Orissa,Dhenkanal,2760.0,1239.0,1600.0,1599.0,1288.0,1175.0,1450.0,1238.0,3586.0,4705.0,3506.0,4400.0,3800.0,3267.0,3775.0,3436.0,4200.0
704,2015,8,Orissa,Dhenkanal,2833.33,1360.0,1600.0,1675.5,1351.0,1300.0,1575.0,1428.0,4481.0,7318.5,4019.0,4800.0,4200.0,3279.0,4368.5,3325.0,4272.5
704,2016,8,Orissa,Dhenkanal,2564.33,1375.0,1700.0,1743.665,1400.0,1600.0,1700.0,1505.0,5232.5,4555.0,3817.0,5233.0,4438.0,3478.5,4100.0,3890.0,4837.0
705,2009,8,Orissa,Ganjam,1671.0,932.0,1050.0,1016.0,905.0,878.0,956.0,932.0,2750.0,3728.0,2350.0,3130.0,2800.0,2371.0,2800.0,2977.5,2965.0
705,2010,8,Orissa,Ganjam,1774.0,965.0,1200.0,1150.0,938.0,998.0,1114.0,1041.5,2315.0,3508.0,2334.0,2725.0,3304.0,2700.0,2549.5,2889.0,4018.0
705,2011,8,Orissa,Ganjam,1750.0,1063.0,1219.0,1180.0,1032.0,988.0,1100.0,1145.0,3313.0,3260.0,2275.0,4600.0,3364.0,3320.5,3212.5,3031.0,3810.0
705,2012,8,Orissa,Ganjam,2006.5,1131.0,1428.0,1498.5,1249.5,1050.0,1200.0,1221.0,3453.0,3550.0,2500.0,6604.0,3225.5,3070.0,3371.0,3340.5,3996.0
705,2014,8,Orissa,Ganjam,2760.0,1327.0,1513.0,1599.0,1288.0,1200.0,1653.5,1238.0,3586.0,4705.0,3000.0,8150.5,3468.0,3267.0,3775.0,3436.0,4200.0
705,2015,8,Orissa,Ganjam,2833.33,1359.0,1568.0,1675.5,1351.0,1325.0,1500.0,1428.0,4481.0,7318.5,3300.0,4500.0,3696.0,3279.0,4368.5,3325.0,4272.5
705,2016,8,Orissa,Ganjam,2564.33,1374.0,1629.0,1743.665,1400.0,1350.0,1629.0,1505.0,5232.5,4555.0,3463.0,4900.0,3665.0,3478.5,4100.0,3890.0,4837.0
706,2009,8,Orissa,Kalahandi,1671.0,927.0,1196.0,1016.0,905.0,800.0,961.0,932.0,3123.0,3500.0,2170.0,3275.0,3000.0,2371.0,2800.0,2977.5,2850.0
706,2010,8,Orissa,Kalahandi,1774.0,906.0,1350.0,1150.0,938.0,800.0,1200.0,1041.5,2315.0,3508.0,2202.0,3500.0,3000.0,2700.0,2549.5,2889.0,4018.0
706,2011,8,Orissa,Kalahandi,1750.0,1002.0,1370.0,1180.0,1032.0,750.0,1200.0,1145.0,3313.0,3260.0,2470.0,4600.0,3250.0,3320.5,3212.5,3031.0,3810.0
706,2012,8,Orissa,Kalahandi,2006.5,1103.0,1400.0,1498.5,1249.5,838.0,1250.0,1221.0,3033.0,4245.0,2623.0,6604.0,3488.0,3000.0,3371.0,3340.5,3200.0
706,2014,8,Orissa,Kalahandi,2760.0,1307.0,1600.0,1599.0,1288.0,1206.0,1400.0,1238.0,3586.0,4705.0,3150.0,4943.0,3725.0,3267.0,3775.0,3436.0,4200.0
706,2015,8,Orissa,Kalahandi,2833.33,1435.0,1620.0,1675.5,1351.0,1300.0,1600.0,1428.0,4481.0,7318.5,3600.0,5050.0,4300.0,3279.0,4368.5,3325.0,4272.5
706,2016,8,Orissa,Kalahandi,2564.33,1444.0,1625.0,1743.665,1400.0,1333.0,1850.0,1505.0,5232.5,4555.0,3950.0,5550.0,4100.0,3478.5,4100.0,3890.0,4837.0
707,2009,8,Orissa,Keonjhar,1671.0,813.0,1196.0,1016.0,905.0,872.0,961.0,932.0,3000.0,3728.0,2200.0,3075.0,2908.0,2371.0,2800.0,2977.5,2965.0
707,2010,8,Orissa,Keonjhar,1774.0,959.0,1175.0,1150.0,938.0,743.0,1100.0,1041.5,2315.0,3508.0,2376.0,3135.0,2400.0,2700.0,2549.5,2889.0,4018.0
707,2011,8,Orissa,Keonjhar,1750.0,977.0,1280.0,1180.0,1032.0,800.0,1131.0,1145.0,3313.0,3260.0,2400.0,4600.0,3250.0,3320.5,3212.5,3031.0,3810.0
707,2012,8,Orissa,Keonjhar,2006.5,1055.0,1335.0,1498.5,1249.5,1202.0,1564.0,1221.0,3453.0,3687.5,4158.0,6604.0,3225.5,3070.0,3371.0,3340.5,3996.0
