Dist Code,Year,State Code,State Name,Dist Name,RICE HARVEST PRICE (Rs per Quintal),PADDY HARVEST PRICE (Rs per Quintal),WHEAT HARVEST PRICE (Rs per Quintal),SORGHUM HARVEST PRICE (Rs per Quintal),PEARL MILLET HARVEST PRICE (Rs per Quintal),MAIZE HARVEST PRICE (Rs per Quintal),FINGER MILLET HARVEST PRICE (Rs per Quintal),BARLEY HARVEST PRICE (Rs per Quintal),CHICKPEA HARVEST PRICE (Rs per Quintal),PIGEONPEA HARVEST PRICE (Rs per Quintal),GROUNDNUT HARVEST PRICE (Rs per Quintal),SEASMUM HARVEST PRICE (Rs per Quintal),RAPE AND MUSTARD HARVEST PRICE (Rs per Quintal),CASTOR HARVEST PRICE (Rs per Quintal),LINSEED HARVEST PRICE (Rs per Quintal),SUGARCANE GUR HARVEST PRICE (Rs per Quintal),COTTON KAPAS HARVEST PRICE (Rs per Quintal)
803,2011,13,West Bengal,Nadia,1836.0,923.0,1285.0,1180.0,1032.0,1020.0,1131.0,1145.0,2850.0,3260.0,3288.0,4600.0,3092.5,3320.5,3212.5,3418.0,3810.0
803,2012,13,West Bengal,Nadia,2103.0,1193.0,1413.0,1498.5,1249.5,1202.0,1564.0,1221.0,3453.0,3687.5,4158.0,6604.0,2792.0,3070.0,3371.0,3634.0,3996.0
803,2013,13,West Bengal,Nadia,2241.5,1595.0,1546.0,1419.5,1317.5,1270.0,1787.5,1232.5,3308.0,3900.0,3781.0,8180.0,3250.0,3131.5,3822.0,3444.0,4509.0
803,2014,13,West Bengal,Nadia,2760.0,1372.0,1513.0,1599.0,1288.0,1255.0,1653.5,1238.0,3586.0,4705.0,3913.0,8150.5,3468.0,3267.0,3775.0,3436.0,4200.0
803,2015,13,West Bengal,Nadia,2833.33,1650.0,1568.0,1675.5,1351.0,1372.5,1678.0,1428.0,4481.0,7318.5,4248.0,6806.0,4250.0,3279.0,4368.5,3325.0,4272.5
803,2016,13,West Bengal,Nadia,2564.33,1650.0,1629.0,1743.665,1400.0,1420.5,2084.0,1505.0,5232.5,4555.0,4350.0,6125.0,4200.0,3478.5,4100.0,3890.0,4837.0
804,2009,13,West Bengal,Murshidabad,1579.0,811.0,1250.0,1016.0,905.0,882.5,1040.0,1225.0,2950.0,3728.0,2528.5,4999.0,2400.0,2371.0,2800.0,3236.0,2965.0
804,2010,13,West Bengal,Murshidabad,1782.0,1127.0,1300.0,1150.0,938.0,943.0,1100.0,1250.0,3000.0,3508.0,2856.0,4550.0,2400.0,2700.0,2549.5,3250.0,4018.0
804,2011,13,West Bengal,Murshidabad,1666.0,953.0,978.0,1180.0,1032.0,1020.0,1131.0,1560.0,3241.0,3260.0,3288.0,4600.0,3092.5,3320.5,3212.5,3186.0,3810.0
804,2012,13,West Bengal,Murshidabad,2031.0,1091.0,1481.0,1498.5,1249.5,1202.0,1564.0,1360.0,3618.0,3687.5,4158.0,6604.0,3191.0,3070.0,3371.0,3715.0,3996.0
804,2013,13,West Bengal,Murshidabad,2241.5,1453.0,1467.0,1419.5,1317.5,1270.0,1787.5,1232.5,3308.0,3900.0,3781.0,8180.0,3300.0,3131.5,3822.0,3444.0,4509.0
804,2014,13,West Bengal,Murshidabad,2760.0,1486.0,1513.0,1599.0,1288.0,1255.0,1653.5,1238.0,3586.0,4705.0,3913.0,8150.5,3500.0,3267.0,3775.0,3436.0,4200.0
