State Name,Dist Name,Total Irrigation,ANNUAL RAINFALL (Millimeters)
Madhya Pradesh,Damoh,317.05010000000004,1137.4020833333334
Madhya Pradesh,Datia,265.1576,813.0244444444444
Madhya Pradesh,Dewas,474.1531,978.1851063829788
Madhya Pradesh,Dhar,520.1157,855.8510638297872
Madhya Pradesh,Guna,315.0612,989.7104166666668
Madhya Pradesh,Gwalior,226.6864,814.8937500000001
Madhya Pradesh,Hoshangabad,848.2548999999999,1333.9291666666666
Madhya Pradesh,Indore,296.66459999999995,922.5604166666668
Madhya Pradesh,Jabalpur,565.2171999999999,1213.18125
Madhya Pradesh,Jhabua,174.9812,877.4152173913043
Madhya Pradesh,Mandla,79.9343,1336.8354166666666
Madhya Pradesh,Mandsaur,310.3027,873.2704545454545
Madhya Pradesh,Morena,313.8392,707.8977777777778
Madhya Pradesh,Narsinghpur,420.7778,1189.8354166666666
Madhya Pradesh,Panna,220.9337,1142.1458333333333
Madhya Pradesh,Raisen,567.8599999999999,1171.159574468085
Madhya Pradesh,Rajgarh,452.89699999999993,983.74375
Madhya Pradesh,Ratlam,278.0638,962.69375
Madhya Pradesh,Rewa,258.6173,1049.0340425531915
Madhya Pradesh,Sagar,530.2194999999999,1151.9541666666669
Madhya Pradesh,Satna,288.15659999999997,1050.2958333333331
Madhya Pradesh,Sehore,666.8607,1150.7680851063828
Madhya Pradesh,Seoni / Shivani,249.1302,1159.85625
Madhya Pradesh,Shahdol,505.9955,1099.008888888889
Madhya Pradesh,Shajapur,450.0786,968.1829787234042
Madhya Pradesh,Shivpuri,417.0401,844.85
Madhya Pradesh,Sidhi,168.3429,1115.0729166666667
Madhya Pradesh,Tikamgarh,240.0287,953.8770833333332
Madhya Pradesh,Ujjain,509.212,937.7125
Madhya Pradesh,Vidisha,627.2191999999999,1114.852173913043
Maharashtra,Ahmednagar,109.0,543.5500000000001
Maharashtra,Akola,121.0,802.3895833333332
Maharashtra,Amarawati,122.0,896.2354166666668
Maharashtra,Aurangabad,115.0,682.2395833333334
Maharashtra,Beed,117.0,672.1437500000001
Maharashtra,Bhandara,126.0,1295.8833333333334
Maharashtra,Bombay,102.0,2418.8230769230768
Maharashtra,Buldhana,120.0,742.9250000000001
Maharashtra,Chandrapur,127.0,1196.0229166666666
Maharashtra,Dhule,107.0,640.24375
Maharashtra,Jalgaon,108.0,714.9416666666666
Maharashtra,Kolhapur,114.0,1835.71875
Maharashtra,Nagpur,125.0,1055.9979166666667
Maharashtra,Nanded,118.0,886.8333333333334
Maharashtra,Osmanabad,119.0,701.831914893617
Maharashtra,Parbhani,116.0,859.1062499999999
Maharashtra,Pune,110.0,1008.49375
Maharashtra,Raigad,104.0,3166.852083333333
Maharashtra,Ratnagiri,105.0,3301.9229166666664
Maharashtra,Sangli,112.0,676.4479166666666
Maharashtra,Satara,111.0,1197.8270833333331
Maharashtra,Solapur,113.0,637.5791666666667
Maharashtra,Thane,103.0,2391.414583333333
Maharashtra,Wardha,124.0,1013.45625
Punjab,Amritsar,973.9259,602.286
Punjab,Bhatinda,1310.4334,328.464
Punjab,Ferozpur,1840.2167000000002,310.692
Punjab,Gurdaspur,622.0613,1040.826
Punjab,Hoshiarpur,556.6048000000001,766.1899999999999
Punjab,Jalandhar,683.4262,606.4307692307692
Punjab,Kapurthala,444.2922,547.2346153846154
Punjab,Ludhiana,771.7025000000001,560.756
Punjab,Patiala,888.2814000000001,683.942
Punjab,Roopnagar / Ropar,408.11109999999996,830.071111111111
Punjab,Sangrur,1052.1610999999998,420.2938775510205
Rajasthan,Ajmer,259.5258,495.044
Rajasthan,Alwar,425.62839999999994,606.9580000000001
Rajasthan,Banswara,305.2893,945.725
Rajasthan,Barmer,217.4761,293.22340425531917
Rajasthan,Bharatpur,386.35769999999997,602.664
Rajasthan,Bhilwara,383.1871,633.576
Rajasthan,Bikaner,885.8628000000001,283.05400000000003
Rajasthan,Bundi,406.5112,658.552
Rajasthan,Chittorgarh,402.7389,770.346
Rajasthan,Churu,333.7201,393.246
Rajasthan,Dungarpur,210.0788,710.072
Rajasthan,Ganganagar,1826.4949000000001,249.23469387755105
Rajasthan,Jaipur,574.5020999999999,573.254
Rajasthan,Jaisalmer,494.9634,190.346
Rajasthan,Jalore,250.7117,426.634
Rajasthan,Jhalawar,359.59540000000004,903.958
